guid,title,pubDate,description,link,media
b'http://www.hindustantimes.com/assembly-elections/hardik-patel-says-congress-has-agreed-to-give-patidar-community-reservation/story-vicPSQMpQZLCvXo45lnRiL.html',b'Gujarat elections: Hardik Patel says Congress has agreed to give Patidar community...',"b'Wed, 22 Nov 2017 07:09:41 GMT '",b'Gujarat election 2017:\xe2\x80\x89Patidars make up around 12% of the state\xe2\x80\x99s population and can influence the outcome in around 60 seats in a 182-member assembly.',b'http://www.hindustantimes.com/assembly-elections/hardik-patel-says-congress-has-agreed-to-give-patidar-community-reservation/story-vicPSQMpQZLCvXo45lnRiL.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/22/Pictures/hardik-patel-interacts-with-community_ab8aaf4c-cf47-11e7-ab73-d03b3a59d103.jpg
b'http://www.hindustantimes.com/assembly-elections/gujarat-election-2017-bjp-laps-up-congress-chaiwala-meme-against-modi/story-V1yUx1yIfDYK1ToUmTUm0L.html',"b""Gujarat election 2017: BJP laps up Congress' 'chaiwala' meme against Modi""","b'Wed, 22 Nov 2017 05:34:54 GMT '",b'BJP\xe2\x80\x89said the meme could become an issue in the 2017 Gujarat Assembly Elections just as Congress president Sonia Gandhi\xe2\x80\x99s \xe2\x80\x98merchant of death\xe2\x80\x99 remarks in the 2007 state polls had turned the discourse to anti-Godhra riots.',b'http://www.hindustantimes.com/assembly-elections/gujarat-election-2017-bjp-laps-up-congress-chaiwala-meme-against-modi/story-V1yUx1yIfDYK1ToUmTUm0L.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/22/Pictures/modi-in-bhavnanagr_da23bf94-cf45-11e7-ab73-d03b3a59d103.jpg
b'http://www.hindustantimes.com/punjab/three-siblings-found-dead-in-panchkula-uncle-held-for-triple-murder/story-tJrtyCJITqOXff9d1QZ8qI.html',"b'Father got three siblings killed in Panchkula, uncle held for triple murder'","b'Wed, 22 Nov 2017 02:31:02 GMT '","b'The accused claimed to have committed the crime at the behest of victims\xe2\x80\x99 father who wanted to get rid of them as he had an extramarital affair, police said.'",b'http://www.hindustantimes.com/punjab/three-siblings-found-dead-in-panchkula-uncle-held-for-triple-murder/story-tJrtyCJITqOXff9d1QZ8qI.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/21/Pictures/_316310e6-cee4-11e7-a40e-766ee48c25bf.jpg
b'http://www.hindustantimes.com/punjab/chandigarh-police-goes-on-verification-drive-checks-2-000-autos/story-m5zLychl9XViQQXEOCGcNK.html',"b'Chandigarh police go on verification drive, checks 2,000 autos'","b'Mon, 20 Nov 2017 04:39:20 GMT '","b'Owners register autos, but rent it out and transport dept has no records of drivers; also plying of autos of Mohali and Panchkula in UT and vice-versa and lack of coordination among the authorities adds to mismanagement '",b'http://www.hindustantimes.com/punjab/chandigarh-police-goes-on-verification-drive-checks-2-000-autos/story-m5zLychl9XViQQXEOCGcNK.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/19/Pictures/saturday-november-november-checking-prajapati-mohali-police_f8c78bf4-ccef-11e7-855e-d08d9ee048bd.JPG
b'http://www.hindustantimes.com/bollywood/the-delhi-boy-from-defence-colony-is-still-not-out-of-my-system-sidharth-malhotra/story-FevL7r1id2UcoqZlo0qY3I.html',b'The Delhi boy from Defence Colony is still not out of my system: Sidharth Malho...',"b'Sun, 19 Nov 2017 12:57:31 GMT '","b'High on the success of Ittefaq, actor Sidharth Malhotra says the \xe2\x80\x98struggling Delhi boy\xe2\x80\x99 is still there as he has the same \xe2\x80\x98hunger and anxiety\xe2\x80\x99 even now; adds there\xe2\x80\x99s \xe2\x80\x9cnothing to clarify, accept or deny\xe2\x80\x9d vis-\xc3\xa0-vis his equation with Alia Bhatt.'",b'http://www.hindustantimes.com/bollywood/the-delhi-boy-from-defence-colony-is-still-not-out-of-my-system-sidharth-malhotra/story-FevL7r1id2UcoqZlo0qY3I.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/19/Pictures/siddharth-malhotra-photoshoot_972604c0-cd26-11e7-8cd0-7e09bc26593d.jpg
b'http://www.hindustantimes.com/punjab/faridkot-govt-primary-school-is-a-lesson-in-self-sustenance/story-8qKSyBXDmpPu8cvIL0KgPJ.html',b'Faridkot govt primary school is a lesson in self-sustenance',"b'Sun, 19 Nov 2017 04:57:43 GMT '","b'The secret, a determined state awardee teacher and willingness to pool in money on the part of staff and villagers.'",b'http://www.hindustantimes.com/punjab/faridkot-govt-primary-school-is-a-lesson-in-self-sustenance/story-8qKSyBXDmpPu8cvIL0KgPJ.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/19/Pictures/_97b94992-cce5-11e7-855e-d08d9ee048bd.jpg
b'http://www.hindustantimes.com/dehradun/padmavatirow-after-chittorgarh-entry-to-kumbhalgarh-fort-blocked/story-AEGgnDrum5lKzsP2YcLvKJ.html',"b'Padmavati row: After Chittorgarh, entry to Kumbhalgarh Fort blocked'","b'Sat, 18 Nov 2017 03:34:08 GMT '","b'In Kota, nearly 200 Congress party workers demonstrated against the Sanjay Leela Bhansali-directed film and hanged an effigy of the filmmaker at a square in the city'",b'http://www.hindustantimes.com/dehradun/padmavatirow-after-chittorgarh-entry-to-kumbhalgarh-fort-blocked/story-AEGgnDrum5lKzsP2YcLvKJ.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/18/Pictures/saturday-padmavati-kumbhalgarh-other-cammunities-protest-aginst_61eeeb34-cc75-11e7-855e-d08d9ee048bd.JPG
b'http://www.hindustantimes.com/jaipur/12-year-old-says-parents-forcing-her-into-marriage-seeks-legal-action/story-AAUoVWbTLf6f8MtH9TaooI.html',"b'12-year-old says parents forcing her into marriage, seeks legal action'","b'Sat, 18 Nov 2017 12:06:31 GMT '",b'Parents thrashed the girl when she refused to get married to 19-year-old youth; cops intervene and stop the December 4 wedding ',b'http://www.hindustantimes.com/jaipur/12-year-old-says-parents-forcing-her-into-marriage-seeks-legal-action/story-AAUoVWbTLf6f8MtH9TaooI.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/18/Pictures/child-marriage_e05f5c96-cc58-11e7-855e-d08d9ee048bd.jpg
b'http://www.hindustantimes.com/punjab/jalandhar-brothers-took-to-snatching-chains-for-drugs-police/story-QerTKm2yfAGQSzgiccKwJP.html',b'Jalandhar brothers took to snatching chains for drugs:&thinsp;Police',"b'Sat, 18 Nov 2017 11:33:56 GMT '","b'The duo was caught by Chandigarh police on Thursday; 12 chains, a motorcycle recovered from them  '",b'http://www.hindustantimes.com/punjab/jalandhar-brothers-took-to-snatching-chains-for-drugs-police/story-QerTKm2yfAGQSzgiccKwJP.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/18/Pictures/_fa2045ac-cc33-11e7-855e-d08d9ee048bd.jpg
b'http://www.hindustantimes.com/punjab/accident-outside-mohali-hospital-new-public-school-teacher-dies-of-head-injury/story-I2dGYL7EKUP1wDQqsZucIM.html',b'Accident outside Mohali hospital:&thinsp;School teacher dies of head injury',"b'Sat, 18 Nov 2017 06:10:36 GMT '","b'Satinder Kaur, a resident of Sector 71, was hit by an SUV on November 6 and never regained consciousness. She succumbed to her head injury on Thursday. \xc2\xa0'",b'http://www.hindustantimes.com/punjab/accident-outside-mohali-hospital-new-public-school-teacher-dies-of-head-injury/story-I2dGYL7EKUP1wDQqsZucIM.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/18/Pictures/_8a214eac-cc26-11e7-855e-d08d9ee048bd.jpg
b'http://www.hindustantimes.com/dehradun/uttarakhand-bans-officials-from-visiting-abroad-this-fiscal/story-1Mmf2ND9lNZBDJLRxaQOQM.html',b'Uttarakhand bans officials from visiting abroad this fiscal',"b'Fri, 17 Nov 2017 03:35:34 GMT '",b'The directive states that the restriction has been imposed to ensure the implementation of all \xe2\x80\x9cflagship projects\xe2\x80\x9d of the state government and the Centre before the current fiscal comes to an end',b'http://www.hindustantimes.com/dehradun/uttarakhand-bans-officials-from-visiting-abroad-this-fiscal/story-1Mmf2ND9lNZBDJLRxaQOQM.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/17/Pictures/ukd-cm-press-conference_c24b4154-cbac-11e7-8cd0-7e09bc26593d.jpg
b'http://www.hindustantimes.com/dehradun/vikas-in-uttarakhand-has-gone-on-holiday-says-harish-rawat/story-JgpcZBtWhI8BU1iWHf0eJN.html',"b""'Vikas in Uttarakhand has gone on holiday, says Harish Rawat""","b'Fri, 17 Nov 2017 03:31:42 GMT '",b'Former chief minister slams the BJP government over the claims that \xe2\x80\x98vikas karya (development works)\xe2\x80\x99 was suffering due to paucity of funds',b'http://www.hindustantimes.com/dehradun/vikas-in-uttarakhand-has-gone-on-holiday-says-harish-rawat/story-JgpcZBtWhI8BU1iWHf0eJN.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/17/Pictures/uttarakhand-former-cm-with-others-burn-effigy_24de2d32-cbac-11e7-8cd0-7e09bc26593d.jpg
b'http://www.hindustantimes.com/jaipur/she-s-from-bihar-he-from-rajasthan-their-blind-love-leads-to-wedlock/story-yDbWk1Ggqf0i4Nv0Ox8O3I.html',"b""She's from Bihar, he from Rajasthan, their 'blind love' leads to wedlock""","b'Fri, 17 Nov 2017 03:23:36 GMT '",b'21-year-old Pushpanjali is pursuing MA and 23-year-old Puran Singh Meena is a bank employee. Both are born blind',b'http://www.hindustantimes.com/jaipur/she-s-from-bihar-he-from-rajasthan-their-blind-love-leads-to-wedlock/story-yDbWk1Ggqf0i4Nv0Ox8O3I.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/17/Pictures/_f66cc36a-cbaa-11e7-8cd0-7e09bc26593d.JPG
b'http://www.hindustantimes.com/bollywood/i-stand-by-sanjay-leela-bhansali-as-well-as-his-vision-for-padmavati-ranveer-singh/story-8ABdbI7mFTR1gNeIJLWNDK.html',b'I stand by Sanjay Leela Bhansali as well as his vision for Padmavati: Ranveer S...',"b'Fri, 17 Nov 2017 01:21:56 GMT '","b'As controversy around Padmavati rages, Ranveer Singh \xe2\x80\x93 in an exclusive conversation with HT \xe2\x80\x93 says he is \xe2\x80\x9cmost concerned\xe2\x80\x9d about Bhansali; the reel Alauddin Khilji says he \xe2\x80\x9cstands 200% by the film\xe2\x80\x9d.'",b'http://www.hindustantimes.com/bollywood/i-stand-by-sanjay-leela-bhansali-as-well-as-his-vision-for-padmavati-ranveer-singh/story-8ABdbI7mFTR1gNeIJLWNDK.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/17/Pictures/_150c9f88-cb98-11e7-869c-1f24c33974c8.jpg
b'http://www.hindustantimes.com/dehradun/7000-trees-to-be-felled-in-kumaon-for-all-weather-chardham-road/story-WRDNnUkyDfEI2tijnHrh9L.html',b'7000 trees to be felled in Kumaon for all-weather Chardham road',"b'Fri, 17 Nov 2017 11:09:15 GMT '","b'More than 33,000 trees will be chopped in the Garhwal region of Uttarakhand to execute the project. The Tanakpur-Pithoragarh highway stretch \xe2\x80\x93 around 150 kms -- passes through the Kumaon region. '",b'http://www.hindustantimes.com/dehradun/7000-trees-to-be-felled-in-kumaon-for-all-weather-chardham-road/story-WRDNnUkyDfEI2tijnHrh9L.html',http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/11/17/Pictures/pm-narendra-modi-at-kedarnath-in-uttarakhand_5fae462e-cb87-11e7-8cd0-7e09bc26593d.jpg
